,count,mean,std,min,25%,50%,75%,max,null_values,null_percentage
asistencia_pct,5000.0,66.087476,21.34829699311693,0.0,55.69,68.60499999999999,80.4625,100.0,0,0.0
nota_media,4899.0,5.649510104102879,1.7967735604384827,0.0,4.51,5.68,6.87,10.0,101,2.02
materias_suspensas,5000.0,5.722,2.286429870411612,0.0,4.0,6.0,7.0,10.0,0,0.0
numero_materias_curso,5000.0,11.954,1.4260051536160827,10.0,11.0,12.0,13.0,14.0,0,0.0
evaluaciones_realizadas,5000.0,2.3798,1.1755119419491802,0.0,1.0,2.0,3.0,4.0,0,0.0
partes_disciplinarios,5000.0,1.9902,1.802762865933886,0.0,0.0,2.0,3.0,10.0,0,0.0
matricula_activa,5000.0,0.9244,0.26438347097340403,0.0,1.0,1.0,1.0,1.0,0,0.0
oferta_educativa,5000.0,2.4978,1.1245657337914594,1.0,1.0,3.0,4.0,4.0,0,0.0
repetidor_curso_actual,5000.0,0.2024,0.4018289851499781,0.0,0.0,0.0,0.0,1.0,0,0.0
dias_sin_actividad,5000.0,12.5612,11.027863678676079,1.0,3.0,11.0,18.0,65.0,0,0.0
inasistencias_consecutivas,5000.0,8.166,7.837214325618328,1.0,1.0,6.0,12.0,46.0,0,0.0
grado_urbanizacion,5000.0,1.9868,0.8086758011157884,1.0,1.0,2.0,3.0,3.0,0,0.0
distancia_escuela,5000.0,12.744672,8.836807050297343,1.0,5.26,12.055,18.93,50.0,0,0.0
acceso_internet,5000.0,0.8734,0.3325576023966109,0.0,1.0,1.0,1.0,1.0,0,0.0
nivel_socioeconomico,5000.0,3.4864,1.7141769805198381,1.0,2.0,3.0,5.0,6.0,0,0.0
apoyo_familiar,5000.0,0.78,0.4142877343892444,0.0,1.0,1.0,1.0,1.0,0,0.0
trabaja,5000.0,0.252,0.4342046830025539,0.0,0.0,0.0,1.0,1.0,0,0.0
abandono_escolar,5000.0,0.0798,0.27101042291739624,0.0,0.0,0.0,0.0,1.0,0,0.0
